"time","count","case"
0.025555556,1,"Best"
0.046388889,2,"Best"
0.048333333,3,"Best"
0.048611111,4,"Best"
0.051388889,5,"Best"
0.089444444,6,"Best"
0.101388889,7,"Best"
0.106388889,8,"Best"
0.115277778,9,"Best"
0.1375,10,"Best"
0.153333333,11,"Best"
0.164444444,12,"Best"
0.1675,13,"Best"
0.17,14,"Best"
0.206388889,15,"Best"
0.247222222,16,"Best"
0.256666667,17,"Best"
0.271388889,18,"Best"
0.283888889,19,"Best"
0.416388889,20,"Best"
0.436944444,21,"Best"
0.522222222,22,"Best"
0.612777778,23,"Best"
0.623055556,24,"Best"
0.624166667,25,"Best"
0.633888889,26,"Best"
0.640555556,27,"Best"
0.672777778,28,"Best"
0.675,29,"Best"
0.747222222,30,"Best"
0.755,31,"Best"
0.762777778,32,"Best"
0.765277778,33,"Best"
0.775555556,34,"Best"
0.789722222,35,"Best"
1.061666667,36,"Best"
1.185,37,"Best"
1.186111111,38,"Best"
1.276111111,39,"Best"
1.296944444,40,"Best"
1.328333333,41,"Best"
1.486944444,42,"Best"
1.558611111,43,"Best"
1.783611111,44,"Best"
1.946944444,45,"Best"
1.955,46,"Best"
1.958611111,47,"Best"
1.969444444,48,"Best"
2.188888889,49,"Best"
2.218611111,50,"Best"
2.240555556,51,"Best"
2.351666667,52,"Best"
2.482777778,53,"Best"
2.726111111,54,"Best"
2.839722222,55,"Best"
2.842777778,56,"Best"
2.931111111,57,"Best"
3.203055556,58,"Best"
3.437222222,59,"Best"
3.446111111,60,"Best"
3.6825,61,"Best"
3.758888889,62,"Best"
4.165555556,63,"Best"
4.24,64,"Best"
4.403055556,65,"Best"
4.513333333,66,"Best"
4.635833333,67,"Best"
4.660555556,68,"Best"
4.877777778,69,"Best"
4.986944444,70,"Best"
0.029166667,1,"Newest"
0.048888889,2,"Newest"
0.065,3,"Newest"
0.079722222,4,"Newest"
0.091388889,5,"Newest"
0.171111111,6,"Newest"
0.186388889,7,"Newest"
0.245,8,"Newest"
0.51,9,"Newest"
0.639444444,10,"Newest"
0.680833333,11,"Newest"
0.746666667,12,"Newest"
0.8975,13,"Newest"
1.259166667,14,"Newest"
1.285833333,15,"Newest"
1.695833333,16,"Newest"
4.826388889,17,"Newest"
5.006111111,18,"Newest"
6.309166667,19,"Newest"
7.434722222,20,"Newest"
7.726111111,21,"Newest"
19.76472222,22,"Newest"
20.65583333,23,"Newest"
20.91333333,24,"Newest"
21.31888889,25,"Newest"
22.67055556,26,"Newest"
0.9125,1,"A-Z"
1.759166667,2,"A-Z"
2.3225,3,"A-Z"
2.824166667,4,"A-Z"
3.168611111,5,"A-Z"
3.464444444,6,"A-Z"
3.883888889,7,"A-Z"
4.468888889,8,"A-Z"
4.664722222,9,"A-Z"
5.113333333,10,"A-Z"
5.158333333,11,"A-Z"
5.4675,12,"A-Z"
5.585833333,13,"A-Z"
5.945555556,14,"A-Z"
5.951666667,15,"A-Z"
6.111388889,16,"A-Z"
6.650277778,17,"A-Z"
7.199166667,18,"A-Z"
8.161388889,19,"A-Z"
8.860277778,20,"A-Z"
8.986111111,21,"A-Z"
10.29027778,22,"A-Z"
11.05138889,23,"A-Z"
11.62416667,24,"A-Z"
11.68972222,25,"A-Z"
13.21611111,26,"A-Z"
13.53472222,27,"A-Z"
14.87583333,28,"A-Z"
15.305,29,"A-Z"
15.30972222,30,"A-Z"
16.89861111,31,"A-Z"
17.72916667,32,"A-Z"
18.65305556,33,"A-Z"
19.10666667,34,"A-Z"
21.62944444,35,"A-Z"
0.389166667,1,"Worst"
3.057222222,2,"Worst"
4.253611111,3,"Worst"
5.233333333,4,"Worst"
5.751666667,5,"Worst"
7.935833333,6,"Worst"
11.29111111,7,"Worst"
12.50833333,8,"Worst"
16.485,9,"Worst"
17.88388889,10,"Worst"
19.99083333,11,"Worst"
20.10305556,12,"Worst"
23.41083333,13,"Worst"
23.51888889,14,"Worst"
