"time","count","case"
0.001064815,1,"Best"
0.00193287,2,"Best"
0.002013889,3,"Best"
0.002025463,4,"Best"
0.002141204,5,"Best"
0.003726852,6,"Best"
0.004224537,7,"Best"
0.00443287,8,"Best"
0.004803241,9,"Best"
0.005729167,10,"Best"
0.006388889,11,"Best"
0.006851852,12,"Best"
0.006979167,13,"Best"
0.007083333,14,"Best"
0.008599537,15,"Best"
0.010300926,16,"Best"
0.010694444,17,"Best"
0.01130787,18,"Best"
0.011828704,19,"Best"
0.017349537,20,"Best"
0.018206019,21,"Best"
0.021759259,22,"Best"
0.025532407,23,"Best"
0.025960648,24,"Best"
0.026006944,25,"Best"
0.026412037,26,"Best"
0.026689815,27,"Best"
0.028032407,28,"Best"
0.028125,29,"Best"
0.031134259,30,"Best"
0.031458333,31,"Best"
0.031782407,32,"Best"
0.031886574,33,"Best"
0.032314815,34,"Best"
0.032905093,35,"Best"
0.044236111,36,"Best"
0.049375,37,"Best"
0.049421296,38,"Best"
0.053171296,39,"Best"
0.054039352,40,"Best"
0.055347222,41,"Best"
0.061956019,42,"Best"
0.06494213,43,"Best"
0.07431713,44,"Best"
0.081122685,45,"Best"
0.081458333,46,"Best"
0.081608796,47,"Best"
0.082060185,48,"Best"
0.091203704,49,"Best"
0.09244213,50,"Best"
0.093356481,51,"Best"
0.097986111,52,"Best"
0.103449074,53,"Best"
0.113587963,54,"Best"
0.118321759,55,"Best"
0.118449074,56,"Best"
0.12212963,57,"Best"
0.133460648,58,"Best"
0.143217593,59,"Best"
0.143587963,60,"Best"
0.1534375,61,"Best"
0.15662037,62,"Best"
0.173564815,63,"Best"
0.176666667,64,"Best"
0.183460648,65,"Best"
0.188055556,66,"Best"
0.193159722,67,"Best"
0.194189815,68,"Best"
0.203240741,69,"Best"
0.207789352,70,"Best"
0.001215278,1,"Newest"
0.002037037,2,"Newest"
0.002708333,3,"Newest"
0.003321759,4,"Newest"
0.00380787,5,"Newest"
0.00712963,6,"Newest"
0.007766204,7,"Newest"
0.010208333,8,"Newest"
0.02125,9,"Newest"
0.026643519,10,"Newest"
0.028368056,11,"Newest"
0.031111111,12,"Newest"
0.037395833,13,"Newest"
0.052465278,14,"Newest"
0.053576389,15,"Newest"
0.070659722,16,"Newest"
0.201099537,17,"Newest"
0.208587963,18,"Newest"
0.262881944,19,"Newest"
0.309780093,20,"Newest"
0.321921296,21,"Newest"
0.823530093,22,"Newest"
0.860659722,23,"Newest"
0.871388889,24,"Newest"
0.888287037,25,"Newest"
0.944606481,26,"Newest"
1.000324074,27,"Newest"
1.0403125,28,"Newest"
1.465833333,29,"Newest"
1.498969907,30,"Newest"
1.964618056,31,"Newest"
2.653194444,32,"Newest"
2.693958333,33,"Newest"
2.818819444,34,"Newest"
2.831354167,35,"Newest"
2.844537037,36,"Newest"
2.866956019,37,"Newest"
2.878645833,38,"Newest"
2.9125,39,"Newest"
3.060393519,40,"Newest"
3.107326389,41,"Newest"
3.176550926,42,"Newest"
3.310300926,43,"Newest"
3.360092593,44,"Newest"
3.410196759,45,"Newest"
3.433263889,46,"Newest"
3.546631944,47,"Newest"
3.676967593,48,"Newest"
3.694699074,49,"Newest"
3.72875,50,"Newest"
3.77693287,51,"Newest"
3.911550926,52,"Newest"
3.964791667,53,"Newest"
3.988761574,54,"Newest"
4.027118056,55,"Newest"
4.218275463,56,"Newest"
4.222372685,57,"Newest"
4.274525463,58,"Newest"
4.376030093,59,"Newest"
0.038020833,1,"A-Z"
